id;table_name;column_name;numero_ligne;data_type;master_id;int_value;boolean_value;money_value;string_value;text_value;date_value;instant_value;zoned_date_time_value;long_value;float_value;double_value;duration_value;uuid_value
1;Refined Frozen;Unbranded Soft Chair overriding optical;41075;BOOLEAN;46291;46254;false;14894;bandwidth;../fake-data/blob/hipster.txt;2021-02-15;2021-02-16T04:34:38;2021-02-16T00:56:20;25644;68541;37764;50651;51fafd58-bb95-45a4-ba70-fc7a8b22ff75
2;Missouri distributed;Implementation Investment Account utilize;16420;BOOLEAN;63550;99143;false;47352;Front-line;../fake-data/blob/hipster.txt;2021-02-15;2021-02-15T16:46:42;2021-02-15T19:56:16;56535;77166;41617;548;a071ab89-a821-41fd-8c6c-bc248d0c0591
3;Human;extranet Gloves Developer;86020;MONEY;7755;81760;true;26309;paradigms Chair Concrete;../fake-data/blob/hipster.txt;2021-02-15;2021-02-16T03:41:34;2021-02-15T23:56:30;8230;45307;68439;87172;d06de463-df6d-4af6-83a0-eeca4515d7a2
4;Strategist;extend engineer;78725;IMAGE;39917;69558;false;26536;granular Future Connecticut;../fake-data/blob/hipster.txt;2021-02-15;2021-02-15T17:41:14;2021-02-16T08:59:35;9636;51206;86173;86923;80e25c11-54b6-42d5-b778-722880a8ba7c
5;logistical haptic;Checking Account Iowa;3914;UUID;23855;71038;false;11023;Car invoice;../fake-data/blob/hipster.txt;2021-02-16;2021-02-16T00:12:46;2021-02-16T02:57:10;25161;13773;15241;47161;bbceee4c-bfe0-4f65-a77a-a3d555b0ae94
6;Wisconsin;Developer payment;4050;IMAGE;20436;26133;true;69745;ADP Director maximize;../fake-data/blob/hipster.txt;2021-02-15;2021-02-16T04:27:47;2021-02-15T11:02:26;40590;2303;39291;50406;4de3b32f-690a-4810-ae39-9dcd71e82aa0
7;SMS Product Product;Director Research 24/7;36937;BOOLEAN;22958;19822;true;30535;Orchard;../fake-data/blob/hipster.txt;2021-02-16;2021-02-15T17:20:28;2021-02-15T20:37:56;99458;35142;1569;24150;7399e1c2-9eb7-4cc9-b862-c89cf90b09ea
8;invoice Research;Forges Afghanistan clicks-and-mortar;51617;FLOAT;90565;99513;true;72733;Progressive Licensed Fresh Gloves Triple-buffered;../fake-data/blob/hipster.txt;2021-02-16;2021-02-15T10:49:07;2021-02-15T21:56:23;5231;69890;26302;47225;6b272dca-56f3-4f11-bfb2-eebf41d0059a
9;Equatorial Guinea Kip Electronics;Australia;7666;BOOLEAN;6212;13334;true;69747;Berkshire withdrawal extranet;../fake-data/blob/hipster.txt;2021-02-15;2021-02-15T18:04:31;2021-02-15T23:46:38;93463;98548;12619;34320;f6278ada-93df-4a9a-bebe-3b111e435d6d
10;wireless synthesize;directional visualize;80905;IMAGE;5726;10324;true;56782;Facilitator;../fake-data/blob/hipster.txt;2021-02-15;2021-02-15T16:24:54;2021-02-16T07:10:52;64264;75449;50445;71926;b9297ec8-3234-4cff-b53f-c2004c7f0d7b
