id;table_name;label_name;column_name;data_type
1;Dominica;Unbranded Soft Shirt Gloves Director;Books Outdoors Viaduct;IMAGE
2;digital interfaces card;Concrete;Intuitive;DATE_TIME
3;deposit;intermediate Practical Granite Mouse Automotive;primary;IMAGE
4;Drive Personal Loan Account;cultivate Spurs;monitor bypass synthesizing;DURATION
5;Wooden Ways portals;connect open-source purple;Chilean Peso Unidades de fomento generating Outdoo;STRING
6;Shirt;Officer Central;silver Investment Account Strategist;LONG
7;cross-media Money Market Account;Personal Loan Account primary;Awesome Wooden Hat SMTP;IMAGE
8;compress Analyst;deposit;optical evolve;FILE
9;Manager program;seize South Carolina e-markets;Practical Rhode Island;DOUBLE
10;Chad Harbors flexibility;De-engineered;matrix;DATE
