id;libelle;date_attribution;delaiexecution;objet;montant;examen_dncmp;examen_ptf;chapitre_imputation;autorisation_engagement;date_reception_dossier;date_non_objection;date_autorisation;date_recep_non_objection;date_recep_doss_corrige;date_pub_par_prmp;date_ouverture_plis;date_recep_non_object_ocmp;date_recep_rapport_eva;date_recep_non_object_ptf;date_examen_juridique;date_notif_contrat;date_approbation_contrat
1;Customer Legacy wireless;2021-02-15;61276;Facilitator Hat;21244;66452;58575;silver wireless;Automotive Panama;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-15
2;De-engineered Salad;2021-02-15;61455;encryption partnerships;14078;45696;36129;model;orange Licensed Station;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15
3;program Shoes;2021-02-16;48605;Wooden Specialist Chair;55592;10725;49646;Awesome Dynamic;website Configuration;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15
4;digital;2021-02-16;70212;sexy;30580;74147;54137;pricing structure;impactful;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15
5;SMS;2021-02-15;85831;Architect Toys;20874;27121;2879;tertiary Implemented;Analyst synthesize Arkansas;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-16
6;system;2021-02-16;39444;PCI Nevada Executive;33824;37750;76427;Martinique Pines;protocol;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-16
7;HDD Rustic Rubber Sausages Generic Fresh Fish;2021-02-16;86489;Data Brazil Shoes;40031;52977;26805;cross-media;invoice;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15
8;Avon USB;2021-02-15;91371;Generic index Directives;4537;72126;93493;Corporate Forint;Response payment;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16
9;zero tolerance platforms matrix;2021-02-16;34467;Concrete synthesizing B2B;81774;54732;42264;withdrawal;maroon;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15
10;whiteboard calculating;2021-02-15;77007;gold leverage;19219;61386;49845;payment Mall;Salad installation Belize;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-15
