id;libelle;date_attribution;delaiexecution;objet;montant;examen_dncmp;examen_ptf;chapitre_imputation;autorisation_engagement;date_reception_dossier;date_non_objection;date_autorisation;date_recep_non_objection;date_recep_doss_corrige;date_pub_par_prmp;date_ouverture_plis;date_recep_non_object_ocmp;date_recep_rapport_eva;date_recep_non_object_ptf;date_examen_juridique;date_notif_contrat;date_approbation_contrat
1;mobile strategic JBOD;2021-02-15;1806;cultivate;72733;88885;812;Soft Gorgeous;Human Route connect;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15
2;paradigms Handcrafted driver;2021-02-15;8083;Paradigm green;5960;62045;51432;Practical array;bluetooth Optional;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15
3;groupware primary Buckinghamshire;2021-02-16;32732;feed Boliviano Mvdol Maryland;65499;55020;42303;Auto Loan Account Personal Loan Account;Indiana;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15
4;mobile;2021-02-15;30318;Marketing;94435;36103;55101;Intelligent Rubber Chips communities Practical;convergence;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-15
5;definition experiences;2021-02-15;25308;Ergonomic payment;35745;32137;28443;Somali Shilling Tactics firewall;benchmark Tuna;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-16
6;Refined Cotton Keyboard;2021-02-16;91304;Avon Brand compress;39314;68874;88100;Buckinghamshire functionalities;Awesome Rubber Chair;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16
7;synthesize back-end;2021-02-16;71466;bus;49691;72343;78687;Tasty Plastic Chair;Kwacha Assimilated orange;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-15
8;feed Chips yellow;2021-02-16;50005;Frozen Bedfordshire;53461;20317;19780;exuding Fresh Algerian Dinar;SMS exploit Plastic;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-16
9;Latvia;2021-02-16;18771;navigate;89226;51421;70608;Pine Extensions proactive;PCI Interactions Accountability;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-16;2021-02-15;2021-02-16;2021-02-16
10;clicks-and-mortar Chips;2021-02-16;81377;Marketing District;52914;52131;91282;circuit Berkshire Louisiana;Plastic;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-15;2021-02-15;2021-02-16;2021-02-16;2021-02-15;2021-02-15
