id;code;libelle;description;syg_type_service_id
1;Michigan;National;Officer middleware Mouse;1
2;Steel;access;Human;2
3;local area network optimize web-readiness;Arizona Licensed Fresh Towels orchid;Crossing Inverse Wooden;3
4;Future;program synthesize;Flats;4
5;synthesizing;Ranch Handmade Steel Keyboard virtual;digital hack mobile;5
6;Mobility Future standardization;programming back up Australian Dollar;SSL connect Saudi Arabia;6
7;info-mediaries e-commerce;Buckinghamshire;human-resource Corporate;7
8;mobile;action-items uniform Nicaragua;Savings Account Communications Berkshire;8
9;Lebanon invoice;card Unbranded Wooden Hat;Granite disintermediate infomediaries;9
10;Accountability fuchsia bluetooth;application multi-byte;e-commerce Tennessee;10
