id;code;libelle;description
1;Forks Maine;4th generation;Configuration Profound clear-thinking
2;engage Coordinator;index cross-platform quantify;Hollow Robust value-added
3;turn-key Metal Borders;synthesizing cross-platform panel;Montana firewall CSS
4;Fields Program;Facilitator Handcrafted Fresh Salad redundant;Morocco Grocery
5;Facilitator PCI input;Credit Card Account;e-markets Berkshire
6;Cotton leading-edge;Fantastic Steel Chair Maine;Bond Markets Units European Composite Unit (EURCO) IB
7;Savings Account Zimbabwe Dollar driver;mesh;Cheese Operative
8;Lempira Frozen Incredible Concrete Ball;emulation;Soft
9;Georgia deposit;Quality;Industrial synthesize
10;bricks-and-clicks;Saint Helena Pound;invoice
