id;table_name;column_name;numero_ligne;data_type;master_id;int_value;boolean_value;money_value;string_value;text_value;date_value;instant_value;zone_local_time_value;long_value;float_value;double_value;duration_value;uuid_value
1;system Auto Loan Account;United Kingdom Sri Lanka;75143;DATE;57998;5726;true;64817;Albania Intelligent New Israeli Sheqel;../fake-data/blob/hipster.txt;2021-01-21;2021-01-21T17:11:24;2021-01-22T02:14:42;99767;48457;37255;36945;347b8d3e-c816-4ad1-80de-07dee16c83dd
2;Assistant mobile;Garden;66109;STRING;18242;10755;false;59469;synthesize South Dakota;../fake-data/blob/hipster.txt;2021-01-22;2021-01-21T21:16:12;2021-01-21T15:54:32;94449;99032;69130;19287;221634f4-acb4-4e4f-a4c9-7a6f579788ae
3;Designer;digital bypass;63161;BOOLEAN;23226;53144;true;35683;transmitter Balanced sexy;../fake-data/blob/hipster.txt;2021-01-22;2021-01-21T15:09:13;2021-01-22T05:40:01;76374;51351;58437;27026;5a9c3477-44bb-494a-8f04-ae1e6c497ade
4;optical;Practical;26785;INT;92309;92720;true;32839;program Programmable;../fake-data/blob/hipster.txt;2021-01-21;2021-01-21T23:12:49;2021-01-22T04:34:42;45665;14900;5103;93204;7f312d2d-bafb-4289-b08c-e1bb612ba191
5;Regional International;neutral olive;59906;DATE;5322;6408;true;86663;Gloves Function-based Ramp;../fake-data/blob/hipster.txt;2021-01-22;2021-01-22T08:40:36;2021-01-21T14:10:57;29791;95717;36307;15442;c55c2925-5768-4b10-8552-e339d72bd7f2
6;New Jersey;Configurable;11958;DATE_TIME;52617;97396;true;90974;Tasty Rubber Bike;../fake-data/blob/hipster.txt;2021-01-22;2021-01-21T13:05:50;2021-01-22T00:02:49;49454;78792;4300;34910;a52916ba-b111-4a46-9d86-857104e1feef
7;Money Market Account Producer;Face to face;37331;TEXT;78049;27979;true;31802;Intelligent;../fake-data/blob/hipster.txt;2021-01-21;2021-01-22T11:16:19;2021-01-22T11:01:48;2177;24072;68130;17006;f7baee99-e308-403b-abc8-64cb18388476
8;withdrawal hack Knolls;Lao People's Democratic Republic Lead;40235;TEXT;33755;58482;true;25490;program synthesizing;../fake-data/blob/hipster.txt;2021-01-21;2021-01-22T10:28:28;2021-01-22T10:50:45;51381;51332;76963;94612;37c47265-9593-4393-95e7-df47ccf2bd37
9;Identity California;Nicaragua Cape Verde Albania;74185;INT;10630;1270;false;71391;interactive;../fake-data/blob/hipster.txt;2021-01-22;2021-01-21T18:51:42;2021-01-22T09:26:17;77459;47087;10931;35116;70b4498f-d400-4569-bbb7-9a28c4289350
10;Optimization methodologies;Kenya HTTP neutral;19553;INT;69;88878;true;12182;green Berkshire monitoring;../fake-data/blob/hipster.txt;2021-01-22;2021-01-22T08:12:48;2021-01-21T20:10:09;15479;8270;8561;80501;be445528-8c17-4a06-9e52-cea2bd9167f8
