id;table_name;label_name;column_name;data_type
1;Auto Loan Account;Australian Dollar Cambridgeshire indexing;Wells Extended Auto Loan Account;FILE
2;payment bus RAM;Fantastic Fresh Pants Visionary;Delaware;STRING
3;payment Handmade;Outdoors;Brooks Checking Account mobile;INT
4;Configuration port Hryvnia;XSS withdrawal productize;Indian Rupee fuchsia;MONEY
5;Chips Incredible Fresh Cheese conglomeration;Norwegian Krone encompassing;olive GB invoice;DATE_TIME
6;Via;Planner Port;Decentralized;BOOLEAN
7;Belarussian Ruble Ghana Principal;Buckinghamshire;black cross-platform;STRING
8;monetize Practical Soft Ball;secured line;visualize Fantastic;DATE_TIME
9;North Carolina Buckinghamshire;parsing Cheese;wireless Borders Internal;INT
10;system;Pants Investor;target;FILE
